銘柄コード,会社名,業種,優先市場,決算月,会計基準,時価総額,EV/EBITDA,配当金(会予),配当金(前期),配当利回り(会予),自己資本比率,営業CF,発行済株式総数
6339,新東工業,機械,プライム,3,日本,"33,821",3.9,28.0,26.0,4.3,61.8,"4,091","52,355,643.0"
6507,シンフォニアテクノロジー,電気機器,プライム,3,日本,"40,347",4.5,60.0,50.0,4.2,46.7,"2,951","28,195,664.0"
5195,バンドー化学,ゴム製品,プライム,3,IFRS,"42,200",2.8,44.0,40.0,4.6,65.5,"9,591","44,050,139.0"
1870,矢作建設工業,建設業,プライム,3,日本,"32,256",5.5,38.0,38.0,5.1,51.3,"15,841","43,008,766.0"
6844,新電元工業,電気機器,プライム,3,日本,"30,412",4.0,130.0,100.0,4.4,44.9,"8,290","10,309,408.0"
8935,FJネクストHD,不動産業,プライム,3,日本,"30,953",1.0,48.0,48.0,5.1,72.7,"22,215","32,685,343.0"
1775,富士古河E&C,建設業,ｽﾀﾝﾀﾞｰﾄﾞ,3,日本,"30,351",3.6,150.0,130.0,4.4,58.4,"3,450","8,992,913.0"
4839,WOWOW,情報・通信業,プライム,3,日本,"34,763",0.8,50.0,60.0,4.1,71.7,"6,422","28,706,037.0"
1982,日比谷総合設備,建設業,プライム,3,日本,"44,057",3.7,84.0,82.0,4.4,77.4,"1,703","22,982,477.0"
7744,ノーリツ鋼機,精密機器,プライム,3,IFRS,"96,917",4.5,152.0,38.0,5.6,62.3,"3,907","35,657,612.0"
5192,三ツ星ベルト,ゴム製品,プライム,3,日本,"96,123",5.3,240.0,143.0,7.1,73.9,"9,044","28,355,060.0"
8934,サンフロンティア不動産,不動産業,プライム,3,日本,"53,158",4.4,46.0,44.0,4.2,54.3,"17,443","48,590,520.0"
6652,IDEC,電気機器,プライム,3,日本,"84,597",5.2,130.0,100.0,4.5,54.5,"9,652","29,141,276.0"
